beer_name,style,brewery,city,abv,num_ratings,ba_score
Putting Out Fires,American IPA,Sand City Brewing Co.,Northport,5.4,42,4.21
Total Internal Reflection,New England IPA,Hudson Valley Brewery,Beacon,7,33,4.21
Scaphism,American Imperial Stout,Nightmare Brewing Company,Farmingdale,17,32,4.21
BGHX,American IPA,Finback Brewery,Queens,5.3,27,4.21
Jewel Shard,American Imperial IPA,Finback Brewery,Queens,8.3,24,4.21
Light Sensitive,New England IPA,Finback Brewery,Queens,7.6,22,4.21
Copy Paste,American IPA,Evil Twin Brewing,Brooklyn,8,21,4.21
Citra Mosaic IPA,American IPA,Resurgence Brewing Company,Buffalo,6.5,20,4.21
Avalanche IPA,American Imperial IPA,Great Adirondack Steak And Seafood Co.,Lake Placid,8.2,19,4.21
King Wavy,New England IPA,Hudson Valley Brewery,Beacon,8,19,4.21
Other Half / The Veil - Big Brekkie Sando,American Imperial IPA,Other Half Brewing Co.,Brooklyn,8,17,4.21
Open Wide,American Imperial IPA,Spider Bite Beer Company,Holbrook,9,17,4.21
Silhouette - Honey And Meyer Lemon,American Wild Ale,Hudson Valley Brewery,Beacon,5,16,4.21
Double D's,English Sweet / Milk Stout,The North Brewery,Endicott,8,16,4.21
Double Dry Hopped The Punk With The Stutter,American IPA,SingleCut Beersmiths,Queens,7.3,16,4.21
Winter Landscape,German Schwarzbier,Industrial Arts Brewing Company,Garnerville,5.6,15,4.21
Bathmophobia,American Imperial IPA,Greenpoint Beer & Ale Company,Brooklyn,8,14,4.21
Prima Materia,American IPA,Root + Branch Brewing,Copiauge,6.5,14,4.21
Spiritual Nucleus,English Sweet / Milk Stout,Other Half Brewing Co.,Brooklyn,9.5,13,4.21
Harbinger,American Imperial Stout,The North Brewery,Endicott,11,12,4.21
dHop11,American Imperial IPA,Equilibrium Brewery,Middletown,8.5,11,4.21
Double Dry Hopped Double Simcoe Daydream,New England IPA,Other Half Brewing Co.,Brooklyn,8.5,11,4.21
Other Half / Cloudwater - Countless Beautiful Arrangements,American Imperial IPA,Other Half Brewing Co.,Brooklyn,8.8,11,4.21
A Case of the Mondays,American IPA,Sand City Brewing Co.,Northport,6,11,4.21
Gamelan Pop!,Berliner Weisse,Grimm Artisanal Ales,Brooklyn,6,10,4.21
Telos,German Pilsner,Grimm Artisanal Ales,Brooklyn,5.5,9,4.21
Remember,New England IPA,SingleCut Beersmiths,Queens,7.7,8,4.21
Hoppy-ng Fences,American IPA,District 96 Beer Factory,New City,6.5,7,4.21
Candy From Strangers - Gold Version,American Imperial Stout,Other Half Brewing Co.,Brooklyn,14.3,7,4.21
Candy From Strangers - Silver Version,American Imperial Stout,Other Half Brewing Co.,Brooklyn,14.3,6,4.21
Clean Islands,New England IPA,Sloop Brewing,Elizaville,6.5,6,4.21
Make Good Decisions,American Imperial IPA,Five Boroughs Brewing Co,Brooklyn,8.5,5,4.21
Heaven Spot,American IPA,Greenport Harbor Brewing Company,Greenport,7.1,5,4.21
First Born Unicorn,Fruit and Field Beer,The North Brewery,Endicott,5,5,4.21
Principia,American IPA,Woodland Farm Brewery,Utica,6.3,4,4.21
Opening Bash 2018,American IPA,Finback Brewery,Queens,7.8,4,4.21
Singularity,American Imperial IPA,Galaxy Brewing Company,Binghamton,8.4,4,4.21
CoHOPeration,American IPA,Hopshire Farm & Brewery,Freeville,6.8,4,4.21
Momo,American Imperial IPA,Other Half Brewing Co.,Brooklyn,8.5,4,4.21
Ruby Kriek,Berliner Weisse,Bacchus & The Brewery at Bacchus,New Paltz,4.5,3,4.21
dHop 0,American Imperial IPA,Equilibrium Brewery,Middletown,8.1,3,4.21
KCBC / Thin Man - Karaoke King,American IPA,Kings County Brewers Collective (KCBC),Brooklyn,6.9,3,4.21
Dark Ale V: Part II,American Black Ale,The North Brewery,Endicott,7,3,4.21
Imperial Pumpkin Ale,Pumpkin Beer,Rohrbach Brewing Company (Brewpub),Rochester,?,3,4.21
#DDHMAO,American Imperial IPA,Shmaltz Brewing Company,Clifton Park,8.38,3,4.21
Libby IPA (Making Moves),American IPA,Stoneyard Brewing Company,Brockport,6.75,3,4.21
Pear River Pils,German Pilsner,The Defiant Brewing Company,Pearl River,4.3,3,4.21
Grapefruit Saison,Belgian Saison,Swiftwater Brewing Company,Rochester,6.7,3,4.21
Saison,Belgian Saison,Swiftwater Brewing Company,Rochester,?,3,4.21
Barrier / Sierra Nevada - Ryes In The East,American IPA,Barrier Brewing Company,Oceanside,8.5,2,4.21
Bandwagon Returns,American IPA,Captain Lawrence Brewing Co.,Elmsford,7.15,2,4.21
All Mucked Up,American IPA,Copper City Brewing Co,Rome,6,2,4.21
Double Beta 6/25/18,American Imperial IPA,Common Roots Brewing Company,South Glens Falls,8,2,4.21
Destination Unknown / Common Roots - Unknown Roots,American Wild Ale,Destination Unknown Beer Co.,Bay Shore,6,2,4.21
Imperial Biscotti Break - Maple Bourbon Barrel-Aged Maple Bacon Coffee,American Imperial Porter,Evil Twin Brewing,Brooklyn,11.5,2,4.21
Genesee Brew House Robust Porter,Robust Porter ,Genesee Brew House,Rochester,4.5,2,4.21
S3 Biere de Meil,Belgian Saison,Transmitter Brewing,Brooklyn,5.1,2,4.21
Abbott's Chocolate Almond Custard Stout,American Stout,Stoneyard Brewing Company,Brockport,6.5,2,4.21
Alpha Particle,American Porter,Woodstock Brewing,Phoenicia,4.5,1,4.21
Vagabond Sour,American Wild Ale,42 North Brewing Company,East Aurora,5,1,4.21
Chocolate Orange Porter,American Porter,Crafty Ales & Lagers,Phelps,6,1,4.21
Pete's Pale Gansevoort Ale,American IPA,Copper City Brewing Co,Rome,5.5,1,4.21
Artism,German Hefeweizen,District 96 Beer Factory,New City,5.2,1,4.21
Make Hay While The Sun Shines,American Imperial IPA,Destination Unknown Beer Co.,Bay Shore,8.2,1,4.21
"Mondays, Am I Right?",American Wild Ale,Destination Unknown Beer Co.,Bay Shore,5,1,4.21
Coffee Well Rested,American Imperial Stout,Greenport Harbor Brewing Company,Greenport,11,1,4.21
Well Rested,English Sweet / Milk Stout,Greenport Harbor Brewing Company,Greenport,11.5,1,4.21
2 Hop Pale ALe,American Pale Ale (APA),Keg & Lantern Brewing Co,Brooklyn,5.4,1,4.21
Guava Cherry Milkshake IPA,American IPA,K2 Brothers Brewing,Rochester,6.5,1,4.21
Interboro / KCBC - Battle Cats,American Imperial IPA,Interboro Spirits and Ales,Brooklyn,7.8,1,4.21
Quality Beer,American Pale Ale (APA),Interboro Spirits and Ales,Brooklyn,5,1,4.21
"Liz, The Lovely TA",American IPA,IBU Brewery,Syracuse,7.5,1,4.21
Other Half / Hidden Springs - Churro Cart,American Imperial Stout,Other Half Brewing Co.,Brooklyn,14.3,1,4.21
Mango Pomegranate Sour IPA,American Wild Ale,Noble Shepherd Craft Brewery,Bloomfield,4.6,1,4.21
Riot in Maine,New England IPA,Prison City Pub & Brewery,Auburn,8,1,4.21
Hopcrux,American IPA,The North Brewery,Endicott,6,1,4.21
Infamous IPA,New England IPA,Rising Storm Brewing Co,Avon,7.8,1,4.21
Verdant Spirits,American IPA,Strong Rope Brewery,Brooklyn,6.6,1,4.21
Spruce Juice,American Imperial IPA,Two Goats Brewing,Hector,9,1,4.21
Does Anybody Remember Laughter? IPA,New England IPA,SingleCut Beersmiths,Queens,7.2,576,4.2
Southampton Grand Cru,Belgian Strong Pale Ale,Southampton Publick House,Southampton,9.5,403,4.2
Southampton Imperial Russian Stout,Russian Imperial Stout,Southampton Publick House,Southampton,10.2,368,4.2
Lambickx Kriek,Belgian Fruit Lambic,Vanberg & DeWulf,Cooperstown,6.5,177,4.2
Small Green Everything,New England IPA,Other Half Brewing Co.,Brooklyn,5,145,4.2
Tanto,American IPA,Barrier Brewing Company,Oceanside,7.1,136,4.2
Baby Diamonds,American IPA,Other Half Brewing Co.,Brooklyn,4.8,121,4.2
Qualify Pils,German Pilsner,Suarez Family Brewery,Hudson,5.5,93,4.2
Southdown Breakfast Stout,American Stout,Sand City Brewing Co.,Northport,7.5,79,4.2
Triangular Nature,Belgian Saison,Suarez Family Brewery,Hudson,4.3,59,4.2
Frou Frou,American IPA,Grimm Artisanal Ales,Brooklyn,7.1,53,4.2
Go With the Flow,American IPA,Other Half Brewing Co.,Brooklyn,6.5,47,4.2
Citra Pop!,Berliner Weisse,Grimm Artisanal Ales,Brooklyn,4.8,43,4.2
Striking,American Imperial IPA,Grimm Artisanal Ales,Brooklyn,8,37,4.2
Ms. Frank,German Kellerbier / Zwickelbier,Suarez Family Brewery,Hudson,5.2,37,4.2
Powder Dreams - Simcoe Lupulin Powder + Mosaic,American IPA,Captain Lawrence Brewing Co.,Elmsford,7.5,33,4.2
Astro Travellin',American Imperial Stout,Other Half Brewing Co.,Brooklyn,11,33,4.2
Superhero Sidekicks,American IPA,Kings County Brewers Collective (KCBC),Brooklyn,6.9,31,4.2
Psycho Killer,American IPA,Finback Brewery,Queens,7.4,29,4.2
Fractal Citra,American IPA,Equilibrium Brewery,Middletown,6.8,25,4.2
Mad Fat! Fluid - Double Dry-Hopped,New England IPA,Interboro Spirits and Ales,Brooklyn,7,24,4.2
Those Clouds All Disappear,American Imperial IPA,SingleCut Beersmiths,Queens,8,24,4.2
French Kiss,American Brown Ale,The North Brewery,Endicott,7,23,4.2
Other Half / Angry Chair - Rice Proxy Treats,American Imperial Stout,Other Half Brewing Co.,Brooklyn,16.3,22,4.2
Southampton Abbey Single,Belgian Pale Ale,Southampton Publick House,Southampton,4.5,22,4.2
Pillow Gossip,American IPA,Common Roots Brewing Company,South Glens Falls,6.4,19,4.2
Passiflora,New England IPA,Decadent Ales,Mamaroneck,9.6,19,4.2
Laid Back,American IPA,Other Half Brewing Co.,Brooklyn,5.8,19,4.2
Reverse Migration,American Imperial Stout,Equilibrium Brewery,Middletown,11,18,4.2
Today’s Special Extra Citra,American Pale Ale (APA),Grimm Artisanal Ales,Brooklyn,5.5,14,4.2
Same Day Series: BomboGenesis,American Imperial IPA,"Chatham Brewing, LLC",Chatham,8.5,14,4.2
Good Trouble,American Imperial IPA,Threes Brewing,Brooklyn,8.1,13,4.2
Interboro / Creature Comforts - More Juice than Zeus,Berliner Weisse,Interboro Spirits and Ales,Brooklyn,4,12,4.2
I Believe I Was Visited By An IPA Last Night,American Imperial IPA,Evil Twin Brewing,Brooklyn,8,11,4.2
Passion Fruit Sour,American Wild Ale,Prison City Pub & Brewery,Auburn,4.5,11,4.2
You're All I Need: Sabro,American Imperial IPA,Interboro Spirits and Ales,Brooklyn,8,10,4.2
Hazy For You,American Imperial IPA,Mikkeller NYC,Corona,9,9,4.2
ERIC Rye Whiskey Barrel-Aged More Cowbell! Chocolate Milk Stout,English Sweet / Milk Stout,SingleCut Beersmiths,Queens,6.6,9,4.2
Cerulean,American IPA,Finback Brewery,Queens,5,8,4.2
Dank Sinatra,New England IPA,Pressure Drop Brewing,Buffalo,6,8,4.2
Sno Klouds,American Imperial Stout,The North Brewery,Endicott,9,8,4.2
Open,American IPA,Freethought,Brooklyn,6,7,4.2
PH3 Blood Orange Sour,American Wild Ale,Transmitter Brewing,Brooklyn,5.7,7,4.2
Control Volume,American Imperial IPA,Equilibrium Brewery,Middletown,8.1,6,4.2
Double Dry Hopped Hop Showers w/ Bru-1,American IPA,Other Half Brewing Co.,Brooklyn,7.4,6,4.2
Jamaica Me Coquito,English Sweet / Milk Stout,Barrier Brewing Company,Oceanside,4.8,5,4.2
Super Freak,English Extra Special / Strong Bitter (ESB),Greenport Harbor Brewing Company,Greenport,?,5,4.2
Rotation Nation #1,American IPA,Good Nature Farm Brewery & Tap Room - Downtown,Hamilton,6.2,5,4.2
Cosmic Kiss,American Imperial IPA,LIC Beer Project,Queens,8.5,5,4.2
Chimera - Fruit Salad,Leipzig Gose,Mortalis Brewing Co.,Avon,6.5,5,4.2
Santa's Big Helper,American Strong Ale,Plan Bee Farm Brewery,Poughkeepsie,?,5,4.2
"Other Half / Captain Lawrence - Into the NY Night (Almond, Cinnamon, Vanill",American Imperial Stout,Other Half Brewing Co.,Brooklyn,10.5,4,4.2
A Little Hop From My Friends,English Pale Ale,Prison City Pub & Brewery,Auburn,7,4,4.2
Blackalicious,American Imperial Stout,Pressure Drop Brewing,Buffalo,11,4,4.2
Simple Cycle,American IPA,Woodstock Brewing,Phoenicia,5.1,3,4.2
Hermetic IPA,American IPA,12 Gates Brewing Company,Williamsville,5.9,3,4.2
Pale Ale,American Pale Ale (APA),Buried Acorn Brewing Company,Syracuse,4.5,3,4.2
Leap'ng Fences,American Imperial IPA,District 96 Beer Factory,New City,8,3,4.2
Photo Bomb,New England IPA,District 96 Beer Factory,New City,?,3,4.2
Highline,American Black Ale,Greenpoint Beer & Ale Company,Brooklyn,6.2,3,4.2
Bringing Maple Bacchus,British Barleywine,Mortalis Brewing Co.,Avon,13,3,4.2
4 Piece Pale Ale (Dry Hop Citra),American Pale Ale (APA),Prison City Pub & Brewery,Auburn,5.9,3,4.2
Hazy Husky,New England IPA,Three Huskies Brewing,Canandaigua,8.1,3,4.2
Belgian Dubbel,Belgian Dubbel,Yonkers Brewing Co.,Yonkers,7.3,2,4.2
Folly,New England IPA,Big Ditch Brewing Company,Buffalo,7.2,2,4.2
Verktoy,New England IPA,Belt Line Brewery & Kitchen,Buffalo,6.3,2,4.2
Double Moo Thunder,Russian Imperial Stout,Butternuts Beer & Ale,Garrattsville,10,2,4.2
Wheat Pilsner,Bohemian Pilsener,Five Boroughs Brewing Co,Brooklyn,5.5,2,4.2
Evil Twin NYC / Equilibrium - Trouble Just Arrived,American Wild Ale,Evil Twin Brewing NYC,Queens,5.7,2,4.2
Amethyst,American Wild Ale,Kills Boro Brewing Company,Staten Island,6.3,2,4.2
Hydra with Raspberries + Strawberry + Pink Guava,American Wild Ale,Mortalis Brewing Co.,Avon,7.5,2,4.2
Unique Taste of Millions,American Imperial IPA,Peekskill Brewery,Peekskill,8,2,4.2
Secret Spot: Venetian Shores,American Imperial IPA,Sand City Brewing Co.,Northport,8.5,2,4.2
SMaSH and grab,American IPA,Water Street Brewing Co.,Binghamton,7.8,1,4.2
Wee Heavy,Scotch Ale / Wee Heavy,Yonkers Brewing Co.,Yonkers,8,1,4.2
Mass Distortion,American IPA,Woodstock Brewing,Phoenicia,6.3,1,4.2
Biere De Fierte,Belgian Tripel,Big aLICe Brewing,Queens,9.2,1,4.2
Black Forest Honey Pumpkin Porter,American Porter,Black Forest Brew Haus,Farmingdale,6.5,1,4.2
Triple Play,Belgian Tripel,Captain Lawrence Brewing Co.,Elmsford,9,1,4.2
Spruce Ale,Winter Warmer,Circa Brewing Co.,Brooklyn,5.7,1,4.2
Drink Tropically,American Imperial IPA,Decadent Ales,Mamaroneck,8.6,1,4.2
You Chinook Me All Night Long,American IPA,Fulton Chain Craft Brewery,Old Forge,6.3,1,4.2
Whole Leaf Citra NE IPA,American IPA,Iron Tug Brewing,Rochester,5.9,1,4.2
Never Settle,Belgian IPA,Iconyc Brewing Company,Queens,6,1,4.2
Sunday Forecast,Belgian Witbier,Peekskill Brewery,Peekskill,5,1,4.2
Hoppy Huskie,American Imperial IPA,Three Huskies Brewing,Canandaigua,9.2,1,4.2
Bootlegger Stout,American Stout,Shelter Island Craft Brewery,Shelter Island,5.1,1,4.2
Enigma Dry-Hopped IPA,American IPA,Steuben Brewing Company,Hammondsport,6.3,1,4.2
All Hallows' Eve,Pumpkin Beer,Spider Bite Beer Company,Holbrook,9,1,4.2
Long May She Reign,American Imperial Stout,The Brewers Collective,Bayshore,13.5,1,4.2
Barrel Aged Sour,American Wild Ale,Swiftwater Brewing Company,Rochester,5.9,1,4.2
Imperial Doughnut Break,American Imperial Porter,Evil Twin Brewing,Brooklyn,11.5,"1,701",4.19
Divided By Zero,American IPA,Rushing Duck Brewing Company,Chester,7,147,4.19
Finback / J Wakefield Smooth Beats Miami,American IPA,Finback Brewery,Queens,6.2,141,4.19
Wet Gravity,New England IPA,Foreign Objects Beer Company,New Paltz,7,125,4.19
Irish-ish Coffee Stout,American Imperial Stout,Evil Twin Brewing,Brooklyn,10.3,125,4.19
Cherry Cordial (Blackwater Series),American Imperial Stout,Southern Tier Brewing Company,Lakewood,10,92,4.19
Double Barrel Dubbel,Belgian Dubbel,Brewery Ommegang,Cooperstown,9.9,86,4.19
45 Fathoms Porter,American Porter,Naked Dove Brewing Company,Canandaigua,5.5,52,4.19
Walk Don't Run,American Blonde Ale,Suarez Family Brewery,Hudson,4,38,4.19
Citrus Citra,New England IPA,Decadent Ales,Mamaroneck,8.7,37,4.19
Lupulin Mutant,American IPA,Sloop Brewing,Elizaville,6.5,36,4.19
Barrier / Finback - Legal Tender,American IPA,Barrier Brewing Company,Oceanside,7.6,35,4.19
Suburb - Citra,American IPA,Barrier Brewing Company,Oceanside,7.6,34,4.19
Barrel Aged Void Of Light,Foreign / Export Stout,Gun Hill Brewing Company,Bronx,8.1,33,4.19
All Caps,American IPA,Finback Brewery,Queens,6.4,32,4.19
DDH Chromoscope,New England IPA,Finback Brewery,Queens,8,31,4.19
Cube: Cuvee #2 (Orange Bitters Barrel),American Wild Ale,Grimm Artisanal Ales,Brooklyn,5.5,29,4.19
Green Flowers,American Imperial IPA,Other Half Brewing Co.,Brooklyn,8.6,27,4.19
Small Citra Everything,American IPA,Other Half Brewing Co.,Brooklyn,6.5,26,4.19
Look No Further,American Pale Ale (APA),Suarez Family Brewery,Hudson,5.3,25,4.19
Yeah Buddy,American Imperial IPA,Kings County Brewers Collective (KCBC),Brooklyn,8.6,23,4.19
Kingsguard,American IPA,LIC Beer Project,Queens,7,21,4.19
Galaxy + Nelson,American Imperial IPA,Other Half Brewing Co.,Brooklyn,8.5,19,4.19
Head In The Clouds,American Imperial IPA,Resurgence Brewing Company,Buffalo,8.4,16,4.19
Barrier / Other Half - Dibiase,American IPA,Barrier Brewing Company,Oceanside,7.4,15,4.19
Master of Pellets,American Imperial IPA,Equilibrium Brewery,Middletown,8,15,4.19
"Mmm... Fruit Dream (Blackberry, Boysenberry + Raspberry)",Berliner Weisse,Other Half Brewing Co.,Brooklyn,4.2,15,4.19
DDH Pixie Dust,American IPA,Sloop Brewing,Elizaville,6,15,4.19
Party Hat,American IPA,Sixpoint Brewery,Brooklyn,6.2,14,4.19
Lo and Behold,Flanders Red Ale,Suarez Family Brewery,Hudson,6,13,4.19
Flagship Wee Heavy,Scotch Ale / Wee Heavy,The Flagship Brewing Company,Staten Island,8,12,4.19
Cool De La,American IPA,Finback Brewery,Queens,5,11,4.19
Industrial Arts / Far Yeast - See Translation,New England IPA,Industrial Arts Brewing Company,Garnerville,7,11,4.19
Hop Wave 4,American Imperial IPA,Equilibrium Brewery,Middletown,8,10,4.19
"Hypersleep - Bourbon Barrel-Aged With Chocolate, Peanuts And Vanilla",American Imperial Stout,Other Half Brewing Co.,Brooklyn,13,10,4.19
What We Don't See,American Imperial Stout,Kings County Brewers Collective (KCBC),Brooklyn,8.5,9,4.19
"Into the NY Night (Red Wine Foudre and Bourbon Barrel Aged with Cacao Nibs,",American Imperial Stout,Other Half Brewing Co.,Brooklyn,13,9,4.19
Neko Niko,American Imperial IPA,Finback Brewery,Queens,8,8,4.19
Second Round Knockout,American Imperial IPA,Greenport Harbor Brewing Company,Greenport,8,8,4.19
By The End Of The Day!,American Imperial IPA,Evil Twin Brewing NYC,Queens,10,7,4.19
Energy Equals,American Imperial IPA,Equilibrium Brewery,Middletown,8,7,4.19
The Mind Melt,American IPA,Greenpoint Beer & Ale Company,Brooklyn,8,7,4.19
Black Sheep,American Brown Ale,Arrowood Farms,Accord,5.9,6,4.19
Descending Squares,American Pale Ale (APA),Greenpoint Beer & Ale Company,Brooklyn,5.8,6,4.19
Imperial Vanilla Cappuccino Pumpkin Ale,Pumpkin Beer,Resurgence Brewing Company,Buffalo,13.3,6,4.19
Beer Tree / Mortalis - Neapolitan Shake,American Imperial Stout,Beer Tree Brew Co.,Port Crane,10,5,4.19
Autumn Apple Ale,American Blonde Ale,C.H. Evans Brewing Company,Albany,6.5,5,4.19
Even More Candy Bars Edition 4,American Imperial Stout,Evil Twin Brewing NYC,Queens,14.4,5,4.19
Pumpkin Ale,Pumpkin Beer,Rohrbach Brewing Company (Brewpub),Rochester,?,5,4.19
Hindsight,American IPA,Greenpoint Beer & Ale Company,Brooklyn,7,4,4.19
Gordon Biersch Gose,Leipzig Gose,Gordon Biersch Brewery Restaurant,Syracuse,4,4,4.19
Gordon Biersch Gose,Leipzig Gose,Gordon Biersch Brewery & Restaurant,Buffalo,4,4,4.19
E Pluribus Lupulin 10: Double Felix,American Imperial IPA,Gun Hill Brewing Company,Bronx,10.8,4,4.19
Someone Forgot the Coffee,American Imperial Stout,Other Half Brewing Co.,Brooklyn,12,4,4.19
Arctic Amber,American Amber / Red Ale,Three Huskies Brewing,Canandaigua,6,4,4.19
Hazy Doodle Dandy,New England IPA,Roc Brewing Company,Rochester,7.9,4,4.19
Screaming Space Cowboy,New England IPA,Secatogue Brewing Company,West Islip,8.1,4,4.19
3 Years in Wood,American Wild Ale,Captain Lawrence Brewing Co.,Elmsford,7,3,4.19
For Science 6.0,American Imperial IPA,Destination Unknown Beer Co.,Bay Shore,8.2,3,4.19
Empire Corridor,New England IPA,Five Boroughs Brewing Co,Brooklyn,6.5,3,4.19
Droppin Bombs,American Imperial IPA,Iconyc Brewing Company,Queens,8,3,4.19
Hazelnut Coffee Stout,American Stout,Patchogue Beer Project,Patchogue,5.8,3,4.19
2nd Anniversary NEIPA,New England IPA,Thin Man Brewery,Buffalo,7,3,4.19
Blonde Ale,American Blonde Ale,WT Brews,Baldwinsville,5.5,2,4.19
Berry Vision,American Wild Ale,Big Ditch Brewing Company,Buffalo,5.4,2,4.19
Nathan’s Biere de Garde,French Bière de Garde,Broken Bow Brewery,Tuckahoe,8.5,2,4.19
Nice Shades,American IPA,Captain Lawrence Brewing Co.,Elmsford,7,2,4.19
What is Mosaic,American IPA,Common Roots Brewing Company,South Glens Falls,6.2,2,4.19
Taken for Granite,American IPA,Fifth Hammer Brewing,Queens,6,2,4.19
"Hydra - Pink Guava, Mango, And Pineapple",American Wild Ale,Mortalis Brewing Co.,Avon,7.5,2,4.19
Blondie (Amarillo Wet Hopped),American Pale Ale (APA),The North Brewery,Endicott,6.6,2,4.19
Dark Hollow w/orange,American Black Ale,West Kill Brewing,West Kill,6.2,1,4.19
Artemis Saison,Belgian Saison,Arrowood Farms,Accord,6.4,1,4.19
Pilsner,German Pilsner,Abandon Brewing Co.,Penn Yan,4.2,1,4.19
Weisse Man With Rhubarb - Collaboration With Lake Drum Brewing,Berliner Weisse,Abandon Brewing Co.,Penn Yan,3.4,1,4.19
Euphoric Dreams,New England IPA,Beer Tree Brew Co.,Port Crane,7.1,1,4.19
Slightly Fuzzy - Strawberry Rhubarb Lime,Berliner Weisse,Beer Tree Brew Co.,Port Crane,4.5,1,4.19
Barrel Aged Sour Brown,American Wild Ale,Ausable Brewing Co.,Keeseville,8.1,1,4.19
Smash,Belgian Quadrupel (Quad),Carey's Brew House,Corning,8.5,1,4.19
Stars and Strikes - Collab. with Mondo Brewery,American IPA,Captain Lawrence Brewing Co.,Elmsford,?,1,4.19
Witte's End,Belgian Witbier,Captain Lawrence Brewing Co.,Elmsford,4.8,1,4.19
GENE'S LAGER,German Helles,Gene McCarthy's Tavern / Old First Ward Brewing,Buffalo,4.6,1,4.19
Templederry Irish Stout,Irish Dry Stout,Gael Brewing Company,Geneva,3.7,1,4.19
Sand City NE Collaboration,American IPA,Harbor Head Brewing Company,Northport,6,1,4.19
Cash And Carry,American IPA,Gun Hill Brewing Company,Bronx,8,1,4.19
Fuel For Fractions,American Imperial Stout,Interboro Spirits and Ales,Brooklyn,13,1,4.19
Interboro / Pipeworks - Tonight at Noon Cocoa Blend,Russian Imperial Stout,Interboro Spirits and Ales,Brooklyn,12,1,4.19
I Got A Message For Smokey,Smoke Beer,Prison City Pub & Brewery,Auburn,5,1,4.19
Foreign Currency,American IPA,Thin Man Brewery,Buffalo,6.5,1,4.19
H6 Harvest,American Wild Ale,Transmitter Brewing,Brooklyn,6.4,1,4.19
PeaceSkill,American IPA,River Outpost Brewing,Peekskill,6,1,4.19
India Pale Lager,American Lager,Resurgence Brewing Company,Buffalo,?,1,4.19
Short Hop,American Blonde Ale,Resurgence Brewing Company,Buffalo,5,1,4.19
White Stout,American Stout,Reinvention Brewing,Manchester,7,1,4.19
Stoneyard Pucker Your Barrel,Belgian Saison,Stoneyard Brewing Company,Brockport,6.2,1,4.19
Christmas Ale,Winter Warmer,The Brewery Of Broken Dreams,Hammondsport,?,1,4.19
DIPA 18,American Imperial IPA,Swiftwater Brewing Company,Rochester,9.5,1,4.19
Fall IPA,American IPA,Upstate Brewing Company,Elmira,7.1,1,4.19
Creeker,American Imperial IPA,Ithaca Beer Company,Ithaca,9,559,4.18
Suparillo,American Imperial IPA,Other Half Brewing Co.,Brooklyn,8.5,152,4.18
Barn Beer,American Wild Ale,Plan Bee Farm Brewery,Poughkeepsie,5.5,133,4.18
I Always Felt Closer To IPAs Than I Did To People,American Imperial IPA,Evil Twin Brewing,Brooklyn,9,112,4.18
We've Been Out There In Orbit,American Imperial Stout,Other Half Brewing Co.,Brooklyn,12,106,4.18
Ceci N'Est Pas A NE Style IPA,New England IPA,Evil Twin Brewing,Brooklyn,8.5,105,4.18
NYPA,American Pale Ale (APA),Peekskill Brewery,Peekskill,5.1,103,4.18
Barrel Select Black,American Wild Ale,Captain Lawrence Brewing Co.,Elmsford,6.5,100,4.18
Adoration Ale - Bourbon Barrel-Aged,Belgian Strong Dark Ale,Brewery Ommegang,Cooperstown,11,94,4.18
Evil Twin / Westbrook - OFYMD,American Imperial Stout,Evil Twin Brewing,Brooklyn,12.8,75,4.18
Meridian,American IPA,Finback Brewery,Queens,7,74,4.18
Tomorrow Who's Gonna Fuss?,American Imperial IPA,SingleCut Beersmiths,Queens,10,72,4.18
This Creeping Malaise,New England IPA,SingleCut Beersmiths,Queens,7.2,66,4.18
Mmm...Osa,American Pale Ale (APA),Equilibrium Brewery,Middletown,4.8,62,4.18
Rye Whiskey Barrel Aged Heavy Boots Of Lead,American Imperial Stout,SingleCut Beersmiths,Queens,12,54,4.18
Close Talker,American IPA,Sand City Brewing Co.,Northport,6.5,47,4.18
Double Dry-Hopped 18-Watt Session IPA,American IPA,SingleCut Beersmiths,Queens,5,42,4.18
KärnL,American Wild Ale,Plan Bee Farm Brewery,Poughkeepsie,6.5,38,4.18
Burning Down The House,American Imperial IPA,Sand City Brewing Co.,Northport,9,38,4.18
Galaxy Bomb,New England IPA,Sloop Brewing,Elizaville,6.5,37,4.18
Miles Marathon Session IPA,American IPA,SingleCut Beersmiths,Queens,4.2,37,4.18
Mango Coconut Smoothie,New England IPA,Decadent Ales,Mamaroneck,9.3,36,4.18
Strange Shadows From The Flames,English Sweet / Milk Stout,SingleCut Beersmiths,Queens,7.5,36,4.18
Short Dark & Breakfast,American Stout,Other Half Brewing Co.,Brooklyn,7.4,31,4.18
Apricot Rebus,American Wild Ale,Grimm Artisanal Ales,Brooklyn,5.5,29,4.18
The Next Episode,American Imperial IPA,Interboro Spirits and Ales,Brooklyn,8,29,4.18
Casey,Belgian Saison,Equilibrium Brewery,Middletown,6,28,4.18
Chinook IPA,American IPA,Other Half Brewing Co.,Brooklyn,6.2,28,4.18
Animal Balloon Sour IPA,American Wild Ale,Hudson Valley Brewery,Beacon,6,27,4.18
Nexus Of The Crisis,American Imperial Stout,SingleCut Beersmiths,Queens,11,25,4.18
Heaven Beside You,American Imperial Stout,LIC Beer Project,Queens,10.5,24,4.18
Prog!,American Imperial IPA,SingleCut Beersmiths,Queens,8,23,4.18
Other Southern,American Imperial IPA,Other Half Brewing Co.,Brooklyn,8.5,22,4.18
